0,36.6,37.2,36.7
10,43,41.2,41.4
20,59.3,54,57.7
30,72.2,67.2,70.5
40,80.3,76.3,79.4
50,86.8,83.1,85.3
60,91.1,87.9,90
70,94.4,91.8,93
80,96.7,94.7,96.1
90,98.4,96.8,98
100,99.6,98.5,99.3
110,100,99.8,1000
120,100,100,100
