0,98,98,98
30,94,95,95
60,94,94,94
90,93,93,93
120,92,93,92
150,91,92,92
180,91,91,91
210,90,90,90
240,89,90,90
270,88,89,89
300,88,88,88
330,87,87,87
360,86,87,87
390,86,86,86
420,85,85,85
450,84,85,85
480,84,84,84
510,83,83,83
540,82,83,83
570,82,82,82
600,81,81,81
630,80,81,81
660,80,80,80
690,79,80,80
720,79,79,79
750,78,78,78
780,77,78,78
810,77,77,77
840,76,77,77
870,76,76,76
900,75,75,75
930,74,75,75
960,74,74,75
990,73,73,74
1020,73,73,73
1050,72,73,73
1080,72,72,72
1110,71,72,72
1140,71,71,71
1170,70,71,71
1200,70,70,70
