,x(cm),time(s)
0,85,0.0
1,84,86.0
2,83,170.0
3,82,254.0
4,81,339.0
5,80,423.0
6,79,508.0
7,78,593.0
8,77,676.0
9,76,758.0
10,75,842.0
11,74,927.0
12,73,1014.0
13,72,1096.0
14,71,1176.0
15,70,1258.0
16,69,1343.0
17,68,1425.0
18,67,1507.0
19,66,1590.0
20,65,1674.0
