,x(cm),time(s)
0,85,0.0
1,84,56.18
2,83,113.22999999999999
3,82,169.38
4,81,228.07
5,80,288.04
6,79,341.8
7,78,397.98
8,77,455.09000000000003
9,76,510.57
10,75,563.79
11,74,614.24
12,73,668.98
13,72,723.27
14,71,777.42
15,70,831.17
16,69,893.82
17,68,950.66
18,67,1003.18
19,66,1057.03
20,65,1114.47
21,64,1170.11
22,63,1223.53
