,x(cm),time(s)
0,81,0.0
1,80,61.63
2,79,130.32
3,78,200.02
4,77,268.15
5,76,338.69
6,75,402.71
7,74,471.39
8,73,537.78
9,72,604.35
10,71,670.46
11,70,736.74
12,69,799.74
13,68,869.22
14,67,934.75
15,66,1001.91
16,65,1066.59
17,64,1132.34
18,63,1206.12
19,62,1266.1
20,61,1330.41
