,x(cm),time(s)
0,85,0.0
1,84,49.21
2,83,113.99000000000001
3,82,167.71
4,81,230.25
5,80,288.35
6,79,345.99
7,78,397.33
8,77,456.49
9,76,515.07
10,75,577.09
11,74,621.85
12,73,681.53
13,72,737.28
14,71,794.96
15,70,851.48
16,69,913.56
17,68,968.43
18,67,1020.93
19,66,1076.14
20,65,1132.67
21,64,1134.91
