,x(cm),time(s)
0,84,0.0
1,83,215.36
2,82,436.76
3,81,656.14
4,80,875.73
5,79,1088.11
6,78,1310.79
7,77,1526.7
8,76,1748.0
9,75,1975.57
10,74,2202.24
11,73,2425.58
12,72,2657.33
13,71,2887.59
14,70,3121.42
15,69,3361.25
16,68,3605.01
17,67,3858.2
