,Volume Flow rate ($cm^3/s$),Superficial Velocity (cm/s),Bed Porosity
0,170.4600484261501,8.681458978145805,0.5242175507692308
1,143.92857142857144,7.330221950403866,0.48456901333333335
2,128.53810212996555,6.546391785483167,0.4621589704347827
3,103.15777315777316,5.253782245251852,0.4109360152380953
4,95.3412153883852,4.855688227024186,0.3814828160000001
5,83.08733366637904,4.23160315562556,0.3814828160000001
6,71.34858151214877,3.6337534176811177,0.3814828160000001
7,62.351112537802635,3.175516085654509,0.3814828160000001
8,31.256416535242952,1.591876222375414,0.3814828160000001
9,16.72166883683448,0.8516276006809316,0.3814828160000001
